date, pm25, pm10, no2, so2,Air_quality_Code,,,,,
6/16/2017,,,,,7,,,,, 
6/17/2017,,,,,7,,,,, 
6/18/2017,,,,,7,,,,, 
6/19/2017,,,,,7,,,,, 
6/20/2017,,,,,7,,,,, 
6/21/2017,,,,,7,,,,, 
6/22/2017,,,,,7,,,,, 
6/23/2017,,,,,7,,,,, 
6/24/2017,,,,,7,,,,, 
6/25/2017,,,,,7,,,,, 
6/26/2017,,,,,7,,,,, 
6/27/2017,,,,,7,,,,, 
6/28/2017,,,,,7,,,,, 
6/29/2017,,,,,7,,,,, 
6/30/2017,,,,,7,,,,, 
7/1/2017,,,,,7,,,,, 
7/2/2017,,,,,7,,,,, 
7/3/2017,,,,,7,,,,, 
7/4/2017,,,,,7,,,,, 
7/5/2017,,,,,7,,,,, 
7/6/2017,,,,,7,,,,, 
7/7/2017,,,,,7,,,,, 
7/8/2017,,,,,7,,,,, 
7/9/2017,,,,,7,,,,, 
7/10/2017,,,,,7,,,,, 
7/11/2017,,,,,7,,,,, 
7/12/2017,,,,,7,,,,, 
7/13/2017,,,,,7,,,,, 
7/14/2017,,,,,7,,,,, 
7/15/2017,,,,,7,,,,, 
7/16/2017,,,,,7,,,,, 
7/17/2017,,,,,7,,,,, 
7/18/2017,,,,,7,,,,, 
7/19/2017,,,,,7,,,,, 
7/20/2017,,,,,7,,,,, 
7/21/2017,,,,,7,,,,, 
7/22/2017,,,,,7,,,,, 
7/23/2017,,,,,7,,,,, 
7/24/2017,,,,,7,,,,, 
7/25/2017,,,,,7,,,,, 
7/26/2017,,,,,7,,,,, 
7/27/2017,,,,,7,,,,, 
7/28/2017,,,,,7,,,,, 
7/29/2017,,,,,7,,,,, 
7/30/2017,,,,,7,,,,, 
7/31/2017,,,,,7,,,,, 
8/1/2017,,,,,7,,,,, 
8/2/2017,,,,,7,,,,, 
8/3/2017,,,,,7,,,,, 
8/4/2017,,,,,7,,,,, 
8/5/2017,,,,,7,,,,, 
8/6/2017,,,,,7,,,,, 
8/7/2017,,,,,7,,,,, 
8/8/2017,,,,,7,,,,, 
8/9/2017,,,,,7,,,,, 
8/10/2017,,,,,7,,,,, 
8/11/2017,,,,,7,,,,, 
8/12/2017,,,,,7,,,,, 
8/13/2017,,,,,7,,,,, 
8/14/2017,,,,,7,,,,, 
8/15/2017,,,,,7,,,,, 
8/16/2017,,,,,7,,,,, 
8/17/2017,,,,,7,,,,, 
8/18/2017,,,,,7,,,,, 
8/19/2017,,,,,7,,,,, 
8/20/2017,,,,,7,,,,, 
8/21/2017,,,,,7,,,,, 
8/22/2017,,,,,7,,,,, 
8/23/2017,,,,,7,,,,, 
8/24/2017,,,,,7,,,,, 
8/25/2017,,,,,7,,,,, 
8/26/2017,,,,,7,,,,, 
8/27/2017,,,,,7,,,,, 
8/28/2017,,,,,7,,,,, 
8/29/2017,,,,,7,,,,, 
8/30/2017,,,,,7,,,,, 
8/31/2017,,,,,7,,,,, 
9/1/2017,,,,,7,,,,, 
9/2/2017,,,,,7,,,,, 
9/3/2017,,,,,7,,,,, 
9/4/2017,,,,,7,,,,, 
9/5/2017,,,,,7,,,,, 
9/6/2017,,,,,7,,,,, 
9/7/2017,,,,,7,,,,, 
9/8/2017,,,,,7,,,,, 
9/9/2017,,,,,7,,,,, 
9/10/2017,,,,,7,,,,, 
9/11/2017,,,,,7,,,,, 
9/12/2017,,,,,7,,,,, 
9/13/2017,,,,,7,,,,, 
9/14/2017,,,,,7,,,,, 
9/15/2017,,,,,7,,,,, 
9/16/2017,,,,,7,,,,, 
9/17/2017,,,,,7,,,,, 
9/18/2017,,,,,7,,,,, 
9/19/2017,,,,,7,,,,, 
9/20/2017,,,,,7,,,,, 
9/21/2017,,,,,7,,,,, 
9/22/2017,,,,,7,,,,, 
9/23/2017,,,,,7,,,,, 
9/24/2017,,,,,7,,,,, 
9/25/2017,,,,,7,,,,, 
9/26/2017,,,,,7,,,,, 
9/27/2017,,,,,7,,,,, 
9/28/2017,,,,,7,,,,, 
9/29/2017,,,,,7,,,,, 
9/30/2017,,,,,7,,,,, 
10/1/2017,,,,,7,,,,, 
10/2/2017,,,,,7,,,,, 
10/3/2017,,,,,7,,,,, 
10/4/2017,,,,,7,,,,, 
10/5/2017,,,,,7,,,,, 
10/6/2017,,,,,7,,,,, 
10/7/2017,,,,,7,,,,, 
10/8/2017,,,,,7,,,,, 
10/9/2017,,,,,7,,,,, 
10/10/2017,,,,,7,,,,, 
10/11/2017,,,,,7,,,,, 
10/12/2017,,,,,7,,,,, 
10/13/2017,,,,,7,,,,, 
10/14/2017,,,,,7,,,,, 
10/15/2017,,,,,7,,,,, 
10/16/2017,,,,,7,,,,, 
10/17/2017,,,,,7,,,,, 
10/18/2017,,,,,7,,,,, 
10/19/2017,,,,,7,,,,, 
10/20/2017,,,,,7,,,,, 
10/21/2017,,,,,7,,,,, 
10/22/2017,,,,,7,,,,, 
10/23/2017,,,,,7,,,,, 
10/24/2017,,,,,7,,,,, 
10/25/2017,,,,,7,,,,, 
10/26/2017,,,,,7,,,,, 
10/27/2017,,,,,7,,,,, 
10/28/2017,,,,,7,,,,, 
10/29/2017,,,,,7,,,,, 
10/30/2017,,,,,7,,,,, 
10/31/2017,,,,,7,,,,, 
11/1/2017,,,,,7,,,,, 
11/2/2017,,,,,7,,,,, 
11/3/2017,,,,,7,,,,, 
11/4/2017,,,,,7,,,,, 
11/5/2017,,,,,7,,,,, 
11/6/2017,,,,,7,,,,, 
11/7/2017,,,,,7,,,,, 
11/8/2017,,,,,7,,,,, 
11/9/2017,,,,,7,,,,, 
11/10/2017,,,,,7,,,,, 
11/11/2017,,,,,7,,,,, 
11/12/2017,,,,,7,,,,, 
11/13/2017,,,,,7,,,,, 
11/14/2017,,,,,7,,,,, 
11/15/2017,,,,,7,,,,, 
11/16/2017,,,,,7,,,,, 
11/17/2017,,,,,7,,,,, 
11/18/2017,,,,,7,,,,, 
11/19/2017,,,,,7,,,,, 
11/20/2017,,,,,7,,,,, 
11/21/2017,,,,,7,,,,, 
11/22/2017,,,,,7,,,,, 
11/23/2017,,,,,7,,,,, 
11/24/2017,,,,,7,,,,, 
11/25/2017,,,,,7,,,,, 
11/26/2017,,,,,7,,,,, 
11/27/2017,,,,,7,,,,, 
11/28/2017,,,,,7,,,,, 
11/29/2017,,,,,7,,,,, 
11/30/2017,,,,,7,,,,, 
12/1/2017,,,,,7,,,,, 
12/2/2017,,,,,7,,,,, 
12/3/2017,,,,,7,,,,, 
12/4/2017,,,,,7,,,,, 
12/5/2017,,,,,7,,,,, 
12/6/2017,,,,,7,,,,, 
12/7/2017,,,,,7,,,,, 
12/8/2017,,,,,7,,,,, 
12/9/2017,,,,,7,,,,, 
12/10/2017,,,,,7,,,,, 
12/11/2017,,,,,7,,,,, 
12/12/2017,,,,,7,,,,, 
12/13/2017,,,,,7,,,,, 
12/14/2017,,,,,7,,,,, 
12/15/2017,,,,,7,,,,, 
12/16/2017,,,,,7,,,,, 
12/17/2017,,,,,7,,,,, 
12/18/2017,,,,,7,,,,, 
12/19/2017,,,,,7,,,,, 
12/20/2017,,,,,7,,,,, 
12/21/2017,,,,,7,,,,, 
12/22/2017,,,,,7,,,,, 
12/23/2017,,,,,7,,,,, 
12/24/2017,,,,,7,,,,, 
12/25/2017,,,,,7,,,,, 
12/26/2017,,,,,7,,,,, 
12/27/2017,,,,,7,,,,, 
12/28/2017,,,,,7,,,,, 
12/29/2017,,,,,7,,,,, 
12/30/2017,,,,,7,,,,, 
12/31/2017,,,,,7,,,,, 
1/1/2018,,,,,7,,,,, 
1/2/2018,,,,,7,,,,, 
1/3/2018,,,,,7,,,,, 
1/4/2018,,,,,7,,,,, 
1/5/2018,,,,,7,,,,, 
1/6/2018,,,,,7,,,,, 
1/7/2018,,,,,7,,,,, 
1/8/2018,,,,,7,,,,, 
1/9/2018,,,,,7,,,,, 
1/10/2018,,,,,7,,,,, 
1/11/2018,,,,,7,,,,, 
1/12/2018,,,,,7,,,,, 
1/13/2018,,,,,7,,,,, 
1/14/2018,,,,,7,,,,, 
