date, pm25, pm10, no2, so2,Air_quality_Code
7/7/2017,57,32, , ,3
7/8/2017,58,39,4, ,3
7/9/2017,63,41,5, ,3
7/10/2017,61,36,5, ,3
7/11/2017,53,39,5, ,3
7/12/2017,71,39,4, ,3
7/13/2017,67,36,3, ,3
7/14/2017,59,41,2, ,3
7/15/2017,75,57,9, ,3
7/16/2017,71,46,6, ,3
7/17/2017,74,34,3, ,3
7/18/2017,68,38,5, ,3
7/19/2017,62,31,4, ,3
7/20/2017,52,28,2, ,3
7/21/2017,50,30,2, ,3
7/22/2017,60,34,3, ,3
7/23/2017,64,36,4, ,3
7/24/2017,64,38,4, ,3
7/25/2017,65,38,4, ,3
7/26/2017,66,41,3, ,3
7/27/2017,64,33,3, ,3
7/28/2017,46,21,2, ,3
7/29/2017,34,22,5, ,3
7/30/2017,32,28,4, ,3
7/31/2017,52,31,4, ,3
8/1/2017,55,33,4, ,3
8/2/2017,63,36,4, ,3
8/3/2017,59,33,4, ,3
8/4/2017,56,33,2, ,3
8/5/2017,74,32,6, ,3
8/6/2017,53,37,4, ,3
8/7/2017,68,33,2, ,3
8/8/2017,64,28,2, ,3
8/9/2017,57,30,2, ,3
8/10/2017,61,28, , ,3
8/11/2017,69, , , ,3
8/12/2017, ,38,2, ,3
8/13/2017,69,38,4, ,3
8/14/2017,74,30,2, ,3
8/15/2017,59,29,3, ,3
8/16/2017,57,36,5, ,3
8/17/2017,71,29,3,1,3
8/18/2017,64,27,3,2,3
8/19/2017,53,28,6,2,3
8/20/2017,51,26,5,1,3
8/21/2017,58,26,4,1,3
8/22/2017,56,25,4,1,3
8/23/2017,47,29,4, ,3
8/24/2017,59,23,3,1,3
8/25/2017,56,22,4,2,3
8/26/2017,56,28,5,2,3
8/27/2017,59,23,3,1,3
8/28/2017,48,27,5, ,3
8/29/2017,53,27,5,2,3
8/30/2017,57,24,5,1,3
8/31/2017,59,26,4,2,3
9/1/2017,61,22,2,1,3
9/2/2017,52,20,4,2,3
9/3/2017,57,20,3,1,3
9/4/2017,55,24,5,1,3
9/5/2017,60,20,3,2,3
9/6/2017,59, , , ,3
9/10/2017, ,23,7,2,3
9/11/2017,55,27,7,2,3
9/12/2017,61,30,7,1,3
9/13/2017,66,20,3,1,3
9/14/2017,49,15,1, ,3
9/15/2017,44,18,2, ,3
9/16/2017,59,17,6, ,3
9/17/2017,58,20,9, ,3
9/18/2017,74, ,7, ,3
9/19/2017,95, ,4, ,3
9/20/2017, , ,2, ,3
9/21/2017, , ,1, ,3
9/22/2017, , , , ,3
9/23/2017,6, ,5, ,3
9/24/2017,7, ,7, ,3
9/25/2017,9, ,6, ,3
9/26/2017, , ,7, ,3
9/27/2017, , ,4, ,3
9/28/2017, , ,3, ,3
9/29/2017, , ,1, ,3
9/30/2017, , ,9, ,3
10/1/2017, , ,9, ,3
10/2/2017, ,36,7, ,3
10/3/2017,50,32,4, ,3
10/4/2017,53,23,4, ,3
10/5/2017,48,22,2, ,3
10/6/2017,48,27,3, ,3
10/7/2017,48,52,4, ,3
10/8/2017,60,34,7, ,3
10/9/2017,47,22,6, ,3
10/10/2017,31,27, , ,3
10/11/2017,43,23,4, ,3
10/12/2017,46,24,4, ,3
10/13/2017,48,23,6, ,3
10/14/2017,45,31,4, ,3
10/15/2017,45,28,8, ,3
10/16/2017,45,39,8, ,3
10/17/2017,54,59,10, ,3
10/18/2017,63,70,14, ,3
10/19/2017,73,41,12, ,3
10/20/2017,60,29,7, ,3
10/21/2017,54,36,3, ,3
10/22/2017,59,38,6, ,3
10/23/2017,63,34,9, ,3
10/24/2017,59,52,4, ,3
10/25/2017,70,65,11, ,3
10/26/2017,64,57,15, ,3
10/27/2017,74,39,7, ,3
10/28/2017,58,42,7, ,3
10/29/2017,51,41,9, ,3
10/30/2017,53,39,8, ,3
10/31/2017,58,32,9, ,3
11/1/2017,55,28,10, ,3
11/2/2017,42,26,9, ,3
11/3/2017,44,18,7, ,3
11/4/2017,40,30,3, ,3
11/5/2017,49,33,9, ,3
11/6/2017,46,5,7, ,3
11/7/2017,18, ,8, ,3
11/8/2017, , ,9, ,3
11/9/2017, , ,8, ,3
11/10/2017, , ,7, ,3
11/11/2017, ,4,5, ,3
11/12/2017,12,3,11, ,3
11/13/2017,12, ,10, ,3
11/14/2017, , ,17, ,3
11/15/2017, ,95,16, ,3
11/16/2017,98,83,17, ,3
11/17/2017,97,72,12, ,3
11/18/2017,90,61,8, ,3
11/19/2017,80,57,7, ,3
11/20/2017,70,35,14, ,3
11/21/2017,43, ,4, ,3
11/23/2017, ,19, , ,3
11/24/2017,43,29,9, ,3
11/25/2017,50,27,11, ,3
11/26/2017,47,25,9, ,3
11/27/2017,51,47,11, ,3
11/28/2017,91,45,15, ,3
11/29/2017,77,29,12, ,3
11/30/2017,51,48,11, ,3
12/1/2017,70,60,10, ,3
12/2/2017,77,61,5, ,3
12/3/2017,63,92,11, ,3
12/4/2017,59,61,8, ,3
12/5/2017,69,16,9, ,3
12/6/2017,32,18,3, ,3
12/7/2017,35,28,9, ,3
12/8/2017,56,30,8, ,3
12/9/2017,61,60,6, ,3
12/10/2017,74,65,15, ,3
12/11/2017,92,83,18, ,3
12/12/2017,66,52,9, ,3
12/13/2017,72,31,10, ,3
12/14/2017,50,26,14, ,3
12/15/2017,45,35,9, ,3
12/16/2017,67,83,6, ,3
12/17/2017,79,65,10, ,3
12/18/2017,76,69,20, ,3
12/19/2017,75,68,20, ,3
12/20/2017,80,121,17, ,3
12/21/2017,95,78,15, ,3
12/22/2017,86,56,7, ,3
12/23/2017,71,66,4, ,3
12/24/2017,62,24,4, ,3
12/25/2017,34,35,6, ,3
12/26/2017,52,45,11, ,3
12/27/2017,45,60,10, ,3
12/28/2017,74,66,17, ,3
12/29/2017,106,46,18, ,3
12/30/2017,94, ,8, ,3
12/31/2017, ,37,3, ,3
1/1/2018,37,26,9, ,3
1/2/2018,35,35,17, ,3
1/3/2018,59,78,6, ,3
1/4/2018,82,208,1, ,3
1/5/2018,99,15,5, ,3
1/6/2018,41,31,13, ,3
1/7/2018,69,43,14, ,3
1/8/2018,80,33,14, ,3
1/9/2018,69,47,12, ,3
1/10/2018,97,44,14, ,3
1/11/2018,69,70,12, ,3
1/12/2018,98,62,7, ,3
1/13/2018,97,78,4, ,3
1/14/2018,77,17,6, ,3
1/15/2018,25,25,12, ,3
1/16/2018,48,24,9, ,3
1/17/2018,47,75,3, ,3
1/18/2018,69,13,2, ,3
1/19/2018,24,19,5, ,3
1/20/2018,40,28,9, ,3
1/21/2018,54,71,11, ,3
1/22/2018,97,47,3, ,3
1/23/2018,60,20,5, ,3
1/24/2018,37,21,4, ,3
1/25/2018,47,21,2, ,3
1/26/2018,30,12,7, ,3
1/27/2018,37,16,11, ,3
1/28/2018,38,26,15, ,3
1/29/2018,66, ,14, ,3
1/30/2018, , ,12, ,3
1/31/2018, ,49,17, ,3
2/1/2018,117,50,13, ,3
2/2/2018,112,43,8, ,3
2/3/2018,78,50,13, ,3
2/4/2018,75,45,17, ,3
2/5/2018,67,50,17, ,3
2/6/2018,71,59,17, ,3
2/7/2018,92,80,13, ,3
2/8/2018,130,60,7, ,3
2/9/2018,98,56,5, ,3
2/10/2018,90,62,7, ,3
2/11/2018,95,30,7, ,3
2/12/2018,43,9,5, ,3
2/13/2018,22,12,8, ,3
2/14/2018,30,36,18, ,3
2/15/2018,70,53,8, ,3
2/16/2018,81,28,2, ,3
2/17/2018,45,20,3, ,3
2/18/2018,41,24,9, ,3
2/19/2018,53,26,12, ,3
2/20/2018,58,32,11, ,3
2/21/2018,65,29,7, ,3
2/22/2018,59,17,4, ,3
2/23/2018,35,25,6, ,3
2/24/2018,60,31,6, ,3
2/25/2018,55,40,9, ,3
2/26/2018,62,28,6, ,3
2/27/2018,42,18,11, ,3
2/28/2018,39,25,13, ,3
3/1/2018,53,28,9, ,3
3/2/2018,59,36,5, ,3
3/3/2018,63,41,8, ,3
3/4/2018,66,48,11, ,3
3/5/2018,85,60,6, ,3
3/6/2018,79,32,9, ,3
3/7/2018,42,130,6, ,3
3/8/2018,103,22,3, ,3
3/9/2018,33,11,3, ,3
3/10/2018,25,11,8, ,3
3/11/2018,32,17,8, ,3
3/12/2018,45,23,11, ,3
3/13/2018,57,28,10, ,3
