date,Air_quality_Code, pm25, pm10, no2, so2
3/5/2017,3,59,29,7,3
3/6/2017,3,46,32,6,3
3/7/2017,3,68,35,8,3
3/8/2017,3,64,49,6,1
3/9/2017,3,52,56,4,2
3/10/2017,3,79,134,4,4
3/11/2017,3,114,170,4, 
3/12/2017,3,106,77,3,1
3/13/2017,3,99,28,6,2
3/14/2017,3,46,26,5,2
3/15/2017,3,42,23,6,1
3/16/2017,3,49,39,8,1
3/17/2017,3,69,38,5, 
3/18/2017,3,57,29,5,1
3/19/2017,3,41,27,5,2
3/20/2017,3,44,44,7,4
3/21/2017,3,67,52,12,3
3/22/2017,3,75,70,8,1
3/23/2017,3,65,32,4, 
3/24/2017,3,64,28,5,1
3/25/2017,3,65,33,8,1
3/26/2017,3,62,36,9,2
3/27/2017,3,65,41,10,2
3/28/2017,3,67,54,9,4
3/29/2017,3,66,57,6,1
3/30/2017,3,59,50,7,1
3/31/2017,3,62,48,4,1
4/1/2017,3,63,26,7,1
4/2/2017,3,49,22,6, 
4/3/2017,3,42,44,12, 
4/4/2017,3,57,74,4,2
4/5/2017,3,60,57,6,1
4/6/2017,3,74,31,2,2
4/7/2017,3,56,37,4,1
4/8/2017,3,65,41,9,1
4/9/2017,3,67,36,6,4
4/10/2017,3,55,42,4,2
4/11/2017,3,65,106, ,4
4/12/2017,3,94,67, ,1
4/13/2017,3,84,36, ,1
4/14/2017,3,56,38, ,1
4/15/2017,3,69,40, ,3
4/16/2017,3,71,43, ,1
4/17/2017,3,80,31,8,2
4/18/2017,3,45,50,11,3
4/19/2017,3,64,40,14,3
4/20/2017,3,58,65,8,4
4/21/2017,3,70,74,8,8
4/22/2017,3,72,41,3,3
4/23/2017,3,48,27,3,1
4/24/2017,3,40,30,4,3
4/25/2017,3,47,47,7,2
4/26/2017,3,69,38,5,4
4/27/2017,3,57,47,6,3
4/28/2017,3,61,62,5,3
4/29/2017,3,67,68,15,10
4/30/2017,3,78,58,7,2
5/1/2017,3,71,53,3,3
5/2/2017,3,75,49,6,5
5/3/2017,3,67,50,6,3
5/4/2017,3,62,50,4,2
5/5/2017,3,72,45,2,5
5/6/2017,3,76,44,3,3
5/7/2017,3,70,50,10,5
5/8/2017,3,57,76,13,5
5/9/2017,3,71,70,13,2
5/10/2017,3,74,51,6,5
5/11/2017,3,64,37, ,3
5/12/2017,3,54,42, ,3
5/13/2017,3,68,61,13,4
5/14/2017,3,85,72,11,4
5/15/2017,3,94,43,4,3
5/16/2017,3,54,46,9,3
5/17/2017,3,57,54,12,3
5/18/2017,3,62,40,4, 
5/19/2017,3,57,21,2,2
5/20/2017,3,19,23,4,3
5/21/2017,3,23,48,8,2
5/22/2017,3,66,55,3,6
5/23/2017,3,82,38,6,7
5/24/2017,3,71,43,7,3
5/25/2017,3,79,38,6, 
5/26/2017,3,74,49,4, 
5/27/2017,3,74,47,4,2
5/28/2017,3,78,60,10,4
5/29/2017,3,78,48,5,3
5/30/2017,3,79,14,3,7
5/31/2017,3,33,3,4,14
6/1/2017,3,12,2,3,7
6/2/2017,3,9,2,3,10
6/3/2017,3,8,1,4,12
6/4/2017,3,5, ,5,7
6/5/2017,3, , ,8,4
6/6/2017,3, , ,12,14
6/7/2017,3, , ,7,11
6/8/2017,3, , ,6,8
6/9/2017,3, , ,1,7
6/10/2017,3, ,27,3,10
6/11/2017,3,33,28,5,10
6/12/2017,3,54,32,5,9
6/13/2017,3,56,41, , 
6/14/2017,3,53,32,4, 
6/15/2017,3,60,28,4, 
6/16/2017,3,54,24,2, 
6/17/2017,3,58,38,6, 
6/18/2017,3,69,37,5, 
6/19/2017,3,58,28,3, 
6/20/2017,3,52,23,3, 
6/21/2017,3,32,28,5, 
6/22/2017,3,48,25,4, 
6/23/2017,3,51,22,2, 
6/24/2017,3,47,29,3, 
6/25/2017,3,57,34,4, 
6/26/2017,3,69,34,3, 
6/27/2017,3,68,32,5, 
6/28/2017,3,65,34,5, 
6/29/2017,3,66,37,5, 
6/30/2017,3,69,35,3, 
7/1/2017,3,70,46,8, 
7/2/2017,3,71,46,8, 
7/3/2017,3,63,44,6, 
7/4/2017,3,68,40,3, 
7/5/2017,3,57,31,2, 
7/6/2017,3,49,33,1, 
7/7/2017,3,57,32, , 
7/8/2017,3,58,39,4, 
7/9/2017,3,63,41,5, 
7/10/2017,3,61,36,5, 
7/11/2017,3,53,39,5, 
7/12/2017,3,71,39,4, 
7/13/2017,3,67,36,3, 
7/14/2017,3,59,41,2, 
7/15/2017,3,75,57,9, 
7/16/2017,3,71,46,6, 
7/17/2017,3,74,34,3, 
7/18/2017,3,68,38,5, 
7/19/2017,3,62,31,4, 
7/20/2017,3,52,28,2, 
7/21/2017,3,50,30,2, 
7/22/2017,3,60,34,3, 
7/23/2017,3,64,36,4, 
7/24/2017,3,64,38,4, 
7/25/2017,3,65,38,4, 
7/26/2017,3,66,41,3, 
7/27/2017,3,64,33,3, 
7/28/2017,3,46,21,2, 
7/29/2017,3,34,22,5, 
7/30/2017,3,32,28,4, 
7/31/2017,3,52,31,4, 
8/1/2017,3,55,33,4, 
8/2/2017,3,63,36,4, 
8/3/2017,3,59,33,4, 
8/4/2017,3,56,33,2, 
8/5/2017,3,74,32,6, 
8/6/2017,3,53,37,4, 
8/7/2017,3,68,33,2, 
8/8/2017,3,64,28,2, 
8/9/2017,3,57,30,2, 
8/10/2017,3,61,28, , 
8/11/2017,3,69, , , 
8/12/2017,3, ,38,2, 
8/13/2017,3,69,38,4, 
8/14/2017,3,74,30,2, 
8/15/2017,3,59,29,3, 
8/16/2017,3,57,36,5, 
8/17/2017,3,71,29,3,1
8/18/2017,3,64,27,3,2
8/19/2017,3,53,28,6,2
8/20/2017,3,51,26,5,1
8/21/2017,3,58,26,4,1
8/22/2017,3,56,25,4,1
8/23/2017,3,47,29,4, 
8/24/2017,3,59,23,3,1
8/25/2017,3,56,22,4,2
8/26/2017,3,56,28,5,2
8/27/2017,3,59,23,3,1
8/28/2017,3,48,27,5, 
8/29/2017,3,53,27,5,2
8/30/2017,3,57,24,5,1
8/31/2017,3,59,26,4,2
9/1/2017,3,61,22,2,1
9/2/2017,3,52,20,4,2
9/3/2017,3,57,20,3,1
9/4/2017,3,55,24,5,1
9/5/2017,3,60,20,3,2
9/6/2017,3,59, , , 
9/10/2017,3, ,23,7,2
9/11/2017,3,55,27,7,2
9/12/2017,3,61,30,7,1
9/13/2017,3,66,20,3,1
9/14/2017,3,49,15,1, 
9/15/2017,3,44,18,2, 
9/16/2017,3,59,17,6, 
9/17/2017,3,58,20,9, 
9/18/2017,3,74, ,7, 
9/19/2017,3,95, ,4, 
9/20/2017,3, , ,2, 
9/21/2017,3, , ,1, 
9/22/2017,3, , , , 
9/23/2017,3,6, ,5, 
9/24/2017,3,7, ,7, 
9/25/2017,3,9, ,6, 
9/26/2017,3, , ,7, 
9/27/2017,3, , ,4, 
9/28/2017,3, , ,3, 
9/29/2017,3, , ,1, 
9/30/2017,3, , ,9, 
10/1/2017,3, , ,9, 
10/2/2017,3, ,36,7, 
10/3/2017,3,50,32,4, 
10/4/2017,3,53,23,4, 
10/5/2017,3,48,22,2, 
10/6/2017,3,48,27,3, 
10/7/2017,3,48,52,4, 
10/8/2017,3,60,34,7, 
10/9/2017,3,47,22,6, 
10/10/2017,3,31,27, , 
10/11/2017,3,43,23,4, 
10/12/2017,3,46,24,4, 
10/13/2017,3,48,23,6, 
10/14/2017,3,45,31,4, 
10/15/2017,3,45,28,8, 
10/16/2017,3,45,39,8, 
10/17/2017,3,54,59,10, 
10/18/2017,3,63,70,14, 
10/19/2017,3,73,41,12, 
10/20/2017,3,60,29,7, 
10/21/2017,3,54,36,3, 
10/22/2017,3,59,38,6, 
10/23/2017,3,63,34,9, 
10/24/2017,3,59,52,4, 
10/25/2017,3,70,65,11, 
10/26/2017,3,64,57,15, 
10/27/2017,3,74,39,7, 
10/28/2017,3,58,42,7, 
10/29/2017,3,51,41,9, 
10/30/2017,3,53,39,8, 
10/31/2017,3,58,32,9, 
11/1/2017,3,55,28,10, 
11/2/2017,3,42,26,9, 
11/3/2017,3,44,18,7, 
11/4/2017,3,40,30,3, 
11/5/2017,3,49,33,9, 
11/6/2017,3,46,5,7, 
11/7/2017,3,18, ,8, 
11/8/2017,3, , ,9, 
11/9/2017,3, , ,8, 
11/10/2017,3, , ,7, 
11/11/2017,3, ,4,5, 
11/12/2017,3,12,3,11, 
11/13/2017,3,12, ,10, 
11/14/2017,3, , ,17, 
11/15/2017,3, ,95,16, 
11/16/2017,3,98,83,17, 
11/17/2017,3,97,72,12, 
11/18/2017,3,90,61,8, 
11/19/2017,3,80,57,7, 
11/20/2017,3,70,35,14, 
11/21/2017,3,43, ,4, 
11/23/2017,3, ,19, , 
11/24/2017,3,43,29,9, 
11/25/2017,3,50,27,11, 
11/26/2017,3,47,25,9, 
11/27/2017,3,51,47,11, 
11/28/2017,3,91,45,15, 
11/29/2017,3,77,29,12, 
11/30/2017,3,51,48,11, 
12/1/2017,3,70,60,10, 
12/2/2017,3,77,61,5, 
12/3/2017,3,63,92,11, 
12/4/2017,3,59,61,8, 
12/5/2017,3,69,16,9, 
12/6/2017,3,32,18,3, 
12/7/2017,3,35,28,9, 
12/8/2017,3,56,30,8, 
12/9/2017,3,61,60,6, 
12/10/2017,3,74,65,15, 
12/11/2017,3,92,83,18, 
12/12/2017,3,66,52,9, 
12/13/2017,3,72,31,10, 
12/14/2017,3,50,26,14, 
12/15/2017,3,45,35,9, 
12/16/2017,3,67,83,6, 
12/17/2017,3,79,65,10, 
12/18/2017,3,76,69,20, 
12/19/2017,3,75,68,20, 
12/20/2017,3,80,121,17, 
12/21/2017,3,95,78,15, 
12/22/2017,3,86,56,7, 
12/23/2017,3,71,66,4, 
12/24/2017,3,62,24,4, 
12/25/2017,3,34,35,6, 
12/26/2017,3,52,45,11, 
12/27/2017,3,45,60,10, 
12/28/2017,3,74,66,17, 
12/29/2017,3,106,46,18, 
12/30/2017,3,94, ,8, 
12/31/2017,3, ,37,3, 
1/1/2018,3,37,26,9, 
1/2/2018,3,35,35,17, 
1/3/2018,3,59,78,6, 
1/4/2018,3,82,208,1, 
1/5/2018,3,99,15,5, 
1/6/2018,3,41,31,13, 
1/7/2018,3,69,43,14, 
1/8/2018,3,80,33,14, 
1/9/2018,3,69,47,12, 
1/10/2018,3,97,44,14, 
1/11/2018,3,69,70,12, 
1/12/2018,3,98,62,7, 
1/13/2018,3,97,78,4, 
1/14/2018,3,77,17,6, 
1/15/2018,3,25,25,12, 
1/16/2018,3,48,24,9, 
1/17/2018,3,47,75,3, 
1/18/2018,3,69,13,2, 
1/19/2018,3,24,19,5, 
1/20/2018,3,40,28,9, 
1/21/2018,3,54,71,11, 
1/22/2018,3,97,47,3, 
1/23/2018,3,60,20,5, 
1/24/2018,3,37,21,4, 
1/25/2018,3,47,21,2, 
1/26/2018,3,30,12,7, 
1/27/2018,3,37,16,11, 
1/28/2018,3,38,26,15, 
1/29/2018,3,66, ,14, 
1/30/2018,3, , ,12, 
1/31/2018,3, ,49,17, 
2/1/2018,3,117,50,13, 
2/2/2018,3,112,43,8, 
2/3/2018,3,78,50,13, 
2/4/2018,3,75,45,17, 
2/5/2018,3,67,50,17, 
2/6/2018,3,71,59,17, 
2/7/2018,3,92,80,13, 
2/8/2018,3,130,60,7, 
2/9/2018,3,98,56,5, 
2/10/2018,3,90,62,7, 
2/11/2018,3,95,30,7, 
2/12/2018,3,43,9,5, 
2/13/2018,3,22,12,8, 
2/14/2018,3,30,36,18, 
2/15/2018,3,70,53,8, 
2/16/2018,3,81,28,2, 
2/17/2018,3,45,20,3, 
2/18/2018,3,41,24,9, 
2/19/2018,3,53,26,12, 
2/20/2018,3,58,32,11, 
2/21/2018,3,65,29,7, 
2/22/2018,3,59,17,4, 
2/23/2018,3,35,25,6, 
2/24/2018,3,60,31,6, 
2/25/2018,3,55,40,9, 
2/26/2018,3,62,28,6, 
2/27/2018,3,42,18,11, 
2/28/2018,3,39,25,13, 
3/1/2018,3,53,28,9, 
3/2/2018,3,59,36,5, 
3/3/2018,3,63,41,8, 
3/4/2018,3,66,48,11, 
3/5/2018,3,85,60,6, 
3/6/2018,3,79,32,9, 
3/7/2018,3,42,130,6, 
3/8/2018,3,103,22,3, 
3/9/2018,3,33,11,3, 
3/10/2018,3,25,11,8, 
3/11/2018,3,32,17,8, 
3/12/2018,3,45,23,11, 
3/13/2018,3,57,28,10, 
3/14/2018,3,54,25,11, 
3/15/2018,3,56,14,5, 
3/16/2018,3,34,14,5, 
3/17/2018,3,37,44,10, 
3/18/2018,3,51,36,7, 
3/19/2018,3,53,43,10, 
3/20/2018,3,78,48,11, 
3/21/2018,3,73,58,13, 
3/22/2018,3,86,63,5, 
3/23/2018,3,104,39,2, 
3/24/2018,3,89,20,7, 
3/25/2018,3,27,67,11, 
3/26/2018,3,73,83,14, 
3/27/2018,3,99,88,6, 
3/28/2018,3,83,93,3, 
3/29/2018,3,71,19,2, 
3/30/2018,3,39,20,2, 
3/31/2018,3,37,45,10, 
4/1/2018,3,74,39,4, 
4/2/2018,3,77,27,4, 
