date,Air_quality_Code, pm25, pm10, no2, so2
7/9/2017,8,84, ,5,1
7/10/2017,8,77, ,4, 
7/11/2017,8,73, ,3, 
7/12/2017,8,78, ,2, 
7/13/2017,8,82, ,4,1
7/14/2017,8,81, ,3,2
7/15/2017,8,94, ,8,1
7/16/2017,8,100, ,7, 
7/17/2017,8,99, ,5, 
7/18/2017,8,91, ,5, 
7/19/2017,8,91, ,3, 
7/20/2017,8,82, ,1, 
7/21/2017,8,79, ,3, 
7/22/2017,8,93, ,2, 
7/23/2017,8,99, ,4, 
7/24/2017,8,101, ,3, 
7/25/2017,8,105, ,7, 
7/26/2017,8,103, ,7, 
7/27/2017,8,110, ,1, 
7/28/2017,8,83, ,4, 
7/29/2017,8,75, ,4, 
7/30/2017,8,75, ,4,2
7/31/2017,8,90, ,4, 
8/1/2017,8,92, ,5, 
8/2/2017,8,98, ,3, 
8/3/2017,8,100, ,4, 
8/4/2017,8,95, ,4, 
8/5/2017,8,93, ,7,1
8/6/2017,8,104, ,3, 
8/7/2017,8,103, ,3, 
8/8/2017,8,96, ,3, 
8/9/2017,8,94, ,4, 
8/10/2017,8,95, ,4, 
8/11/2017,8,109, ,4, 
8/12/2017,8,110, ,2, 
8/13/2017,8,121, ,5, 
8/14/2017,8,108, ,2, 
8/15/2017,8,93, ,4, 
8/16/2017,8,97, ,4, 
8/17/2017,8,112, ,4, 
8/18/2017,8,105, ,5,2
8/19/2017,8,90, ,6,1
8/20/2017,8,95, ,4, 
8/21/2017,8,95, ,2, 
8/22/2017,8,88, ,4, 
8/23/2017,8,89, ,3, 
8/24/2017,8,96, ,3,1
8/25/2017,8,88, ,2, 
8/26/2017,8,89, ,3, 
8/27/2017,8,88, ,3, 
8/28/2017,8, , ,4, 
8/29/2017,8,71, ,5, 
8/30/2017,8,76, ,5, 
8/31/2017,8,79, ,3, 
9/1/2017,8,83, ,3, 
9/2/2017,8,79, ,4, 
9/3/2017,8,79, ,4, 
9/4/2017,8,76, ,4, 
9/5/2017,8,79, ,2,1
9/6/2017,8,81, , , 
9/10/2017,8, , ,10,1
9/11/2017,8,76, ,11,3
9/12/2017,8,77, ,8, 
9/13/2017,8,94, ,6, 
9/14/2017,8,83, ,1, 
9/15/2017,8,74, ,4, 
9/16/2017,8,78, ,7, 
9/17/2017,8,92, ,9, 
9/18/2017,8,104, ,9,1
9/19/2017,8,111, , , 
9/23/2017,8, , ,4, 
9/24/2017,8,72, ,4, 
9/25/2017,8,69, ,6, 
9/26/2017,8,65, ,5, 
9/27/2017,8,66, ,9, 
9/28/2017,8,72, ,10, 
9/29/2017,8,75, ,4, 
9/30/2017,8,73, ,12,1
10/1/2017,8,72, ,13,2
10/2/2017,8,81, ,6, 
10/3/2017,8,75, ,6, 
10/4/2017,8,74, ,3, 
10/5/2017,8,72, ,3, 
10/6/2017,8,76, ,11,1
10/7/2017,8,77, ,12,1
10/8/2017,8,104, ,6, 
10/9/2017,8,75, ,7, 
10/10/2017,8,62, ,6, 
10/11/2017,8,75, ,7, 
10/12/2017,8,66, ,8, 
10/13/2017,8,70, ,3, 
10/14/2017,8,69, ,10, 
10/15/2017,8,79, ,15, 
10/16/2017,8,82, ,14,3
10/17/2017,8,83, ,17,4
10/18/2017,8,90, ,18,3
10/19/2017,8,105, ,9,1
10/20/2017,8,91, ,9, 
10/21/2017,8,85, ,12,1
10/22/2017,8,95, ,11, 
10/23/2017,8,84, ,14, 
10/24/2017,8,95, ,14,2
10/25/2017,8,88, ,15,3
10/26/2017,8,96, ,13,2
10/27/2017,8,109, ,8, 
10/28/2017,8,88, ,9,1
10/29/2017,8,97, ,8, 
10/30/2017,8,94, ,5, 
10/31/2017,8,116, ,9, 
11/1/2017,8,63, ,10, 
11/2/2017,8,76, ,8, 
11/3/2017,8,71, ,10, 
11/4/2017,8,80, ,10,1
11/5/2017,8,101, ,12,1
11/6/2017,8, , ,14,2
11/7/2017,8, , ,10,2
11/8/2017,8,77, ,15, 
11/9/2017,8,109, ,11, 
11/10/2017,8,96, ,12, 
11/11/2017,8,98, ,16,4
11/12/2017,8,106, ,19,1
11/13/2017,8,149, ,23,2
11/14/2017,8,143, ,20,2
11/15/2017,8,146, ,20,2
11/16/2017,8,148, ,18,2
11/17/2017,8,149, ,10,1
11/18/2017,8,138, ,10, 
11/19/2017,8,129, ,14,1
11/20/2017,8,102, ,3, 
11/21/2017,8,68, , , 
11/24/2017,8, , ,11,3
11/25/2017,8,84, ,13,1
11/26/2017,8,81, ,10, 
11/27/2017,8,85, ,15,1
11/28/2017,8,112, ,14, 
11/29/2017,8,106, ,13,2
11/30/2017,8,73, ,10,3
12/1/2017,8,104, ,9,2
12/2/2017,8,111, ,17,3
12/3/2017,8,104, ,20,3
12/4/2017,8,99, ,12,1
12/5/2017,8,92, ,2, 
12/6/2017,8,62, ,10, 
12/7/2017,8,65, ,8,1
12/8/2017,8,74, ,12,2
12/9/2017,8,92, ,17,4
12/10/2017,8,114, ,11,4
12/11/2017,8,119, ,15,4
12/12/2017,8,106, ,13,1
12/13/2017,8,99, ,8, 
12/14/2017,8,68, ,9, 
12/15/2017,8,68, ,9,1
12/16/2017,8,80, ,19,2
12/17/2017,8,106, ,29,3
12/18/2017,8,116, ,23,4
12/19/2017,8,128, ,23,4
12/20/2017,8,139, ,22,4
12/21/2017,8,149, ,19,4
12/22/2017,8,142, ,8,1
12/23/2017,8,127, ,3, 
12/24/2017,8,91, ,12, 
12/25/2017,8,67, ,12,2
12/26/2017,8,97, ,13,1
12/27/2017,8,81, ,20,2
12/28/2017,8,106, ,14,2
12/29/2017,8,118, ,8, 
12/30/2017,8,115, , , 
12/31/2017,8, , ,9, 
1/1/2018,8,77, ,6, 
1/2/2018,8,70, ,12,1
1/3/2018,8,83, ,6,1
1/4/2018,8,104, ,1, 
1/5/2018,8,104, ,7, 
1/6/2018,8,71, ,16,2
1/7/2018,8,113, ,18,3
1/8/2018,8,139, ,20,1
1/9/2018,8,92, ,16,2
1/10/2018,8,111, ,23,3
1/11/2018,8,122, ,14,1
1/12/2018,8,142, ,7, 
1/13/2018,8, , ,7, 
1/14/2018,8,93, ,8, 
1/15/2018,8,71, ,13, 
1/16/2018,8,76, ,10, 
1/17/2018,8,81, ,4, 
1/18/2018,8,98, , , 
1/20/2018,8, , ,25,2
1/21/2018,8,108, ,15,2
1/22/2018,8,136, ,2, 
1/23/2018,8,88, ,9, 
1/24/2018,8,66, ,6, 
1/25/2018,8,69, ,3, 
1/26/2018,8,69, , , 
1/27/2018,8, , ,28,1
1/28/2018,8,60, ,16, 
1/29/2018,8,99, ,14,1
1/30/2018,8,110, , , 
1/31/2018,8, , ,21,4
2/1/2018,8,108, ,16,3
2/2/2018,8,127, ,11,2
2/3/2018,8,145, ,19,3
2/4/2018,8,137, ,23,4
2/5/2018,8,127, ,21,3
2/6/2018,8,121, ,22,4
2/7/2018,8,147, ,20,6
2/8/2018,8,144, ,11,3
2/9/2018,8,151, ,11,1
2/10/2018,8,144, ,12,2
2/11/2018,8,134, ,14, 
2/12/2018,8,71, ,4,1
2/13/2018,8,57, ,10,2
2/14/2018,8,69, ,15,3
2/15/2018,8,83, ,12,1
2/16/2018,8,127, ,2, 
2/17/2018,8,77, ,2, 
2/18/2018,8,89, ,10, 
2/19/2018,8,83, ,15,2
2/20/2018,8,104, ,11,1
2/21/2018,8,111, ,9,1
2/22/2018,8,86, ,10,1
2/23/2018,8,109, ,9, 
2/24/2018,8,114, ,9,1
2/25/2018,8,91, ,8, 
2/26/2018,8,84, ,10, 
2/27/2018,8,83, ,12,1
2/28/2018,8,83, ,13,1
3/1/2018,8,109, ,10,2
3/2/2018,8,108, ,13,1
3/3/2018,8,129, ,17,3
3/4/2018,8,127, ,15,3
3/5/2018,8,132, ,8,1
3/6/2018,8,136, ,12,1
3/7/2018,8,99, ,11,2
3/8/2018,8,153, , , 
3/9/2018,8,85, ,7,2
3/10/2018,8,54, ,14, 
3/11/2018,8,77, ,13,1
3/12/2018,8,87, ,13,1
3/13/2018,8,94, ,12, 
3/14/2018,8,88, ,11, 
3/15/2018,8,84, ,9, 
3/16/2018,8,78, ,9,1
