date,Air_quality_Code, pm25, pm10, no2, so2
7/6/2017,2, ,38,2, 
7/7/2017,2, ,40,3, 
7/8/2017,2, ,36,4, 
7/9/2017,2, ,34,6, 
7/10/2017,2, ,28,5, 
7/11/2017,2, ,29,6, 
7/12/2017,2, ,30,5, 
7/13/2017,2, ,33,8, 
7/14/2017,2, ,40,4, 
7/15/2017,2, ,40,9, 
7/16/2017,2, ,47,6, 
7/17/2017,2, ,35,6, 
7/18/2017,2, ,34,5, 
7/19/2017,2, ,29,4, 
7/20/2017,2, ,27,3, 
7/21/2017,2, ,25,2, 
7/22/2017,2, ,31,5, 
7/23/2017,2, ,32,5, 
7/24/2017,2, ,34,5, 
7/25/2017,2, ,35,6, 
7/26/2017,2, ,32,6,3
7/27/2017,2, ,42,2,3
7/28/2017,2, ,28,2,3
7/29/2017,2, ,21,5,3
7/30/2017,2, ,20,6, 
7/31/2017,2, ,26,4, 
8/1/2017,2, ,26,6, 
8/2/2017,2, ,36,5, 
8/3/2017,2, ,36,3, 
8/4/2017,2, ,29,3, 
8/5/2017,2, ,29,7, 
8/6/2017,2, ,34,7, 
8/7/2017,2, ,38,5, 
8/8/2017,2, ,30,5, 
8/9/2017,2, ,29,5, 
8/10/2017,2, ,28,3, 
8/11/2017,2, ,35,3, 
8/12/2017,2, ,36,5, 
8/13/2017,2, ,40,6, 
8/14/2017,2, ,39,5, 
8/15/2017,2, ,35,6, 
8/16/2017,2, ,36,8, 
8/17/2017,2, ,45,4,1
8/18/2017,2, ,39,4, 
8/19/2017,2, ,26,8, 
8/20/2017,2, ,28,5, 
8/21/2017,2, ,32,6, 
8/22/2017,2, ,32,5, 
8/23/2017,2, ,37,7, 
8/24/2017,2, ,37,6, 
8/25/2017,2, ,33,3, 
8/26/2017,2, ,30,6, 
8/27/2017,2, ,36,6, 
8/28/2017,2, ,41,8, 
8/29/2017,2, ,37,7, 
8/30/2017,2, ,35,6, 
8/31/2017,2, ,29,3, 
9/1/2017,2, ,30,2, 
9/2/2017,2, ,29,5, 
9/3/2017,2, ,31,5, 
9/4/2017,2, ,29,6, 
9/5/2017,2, ,31,7, 
9/6/2017,2, ,46, , 
9/10/2017,2, , ,10, 
9/11/2017,2, ,28,10, 
9/12/2017,2, ,33,7, 
9/13/2017,2, ,47,7, 
9/14/2017,2, ,45,2, 
9/15/2017,2, ,31,4, 
9/16/2017,2, ,30,7, 
9/17/2017,2, ,36,8, 
9/18/2017,2, ,40,10, 
9/19/2017,2, ,50,5, 
9/20/2017,2, ,39,2, 
9/21/2017,2, ,35,2, 
9/22/2017,2, ,31,2, 
9/23/2017,2, ,22,7, 
9/24/2017,2, ,24,6, 
9/25/2017,2, ,28,6, 
9/26/2017,2, ,25,7, 
9/27/2017,2, ,25,7, 
9/28/2017,2, ,22,4, 
9/29/2017,2, ,28,2, 
9/30/2017,2, ,25,12,1
10/1/2017,2, ,23,12, 
10/2/2017,2, ,50,6, 
10/3/2017,2, ,34,5, 
10/4/2017,2, ,28,3,4
10/5/2017,2, ,20,2, 
10/6/2017,2, ,28, , 
10/7/2017,2, , ,2, 
10/8/2017,2, ,110,4, 
10/9/2017,2, ,26,8, 
10/10/2017,2, ,26,7, 
10/11/2017,2, ,21,6, 
10/12/2017,2, ,20,6, 
10/13/2017,2, ,22,4, 
10/14/2017,2, ,22,10, 
10/15/2017,2, ,24,10,5
10/16/2017,2, ,22,11,1
10/17/2017,2, ,26,21, 
10/18/2017,2, ,41,17, 
10/19/2017,2, ,58,7, 
10/20/2017,2, ,33,5, 
10/21/2017,2, ,26,10, 
10/22/2017,2, ,28,11, 
10/23/2017,2, ,28,10, 
10/24/2017,2, ,29,14,1
10/25/2017,2, ,36,17,2
10/26/2017,2, ,43,11,1
10/27/2017,2, ,51,7, 
10/28/2017,2, ,34,9, 
10/29/2017,2, ,37,7, 
10/30/2017,2, ,38,6, 
10/31/2017,2, ,31,10, 
11/1/2017,2, ,31,9, 
11/2/2017,2, ,26,6, 
11/3/2017,2, ,21,7, 
11/4/2017,2, ,21,10, 
11/5/2017,2, ,29,12, 
11/6/2017,2, ,38,11, 
11/7/2017,2, ,24,9, 
11/8/2017,2, ,27,12, 
11/9/2017,2, ,24,9, 
11/10/2017,2, ,22,6, 
11/11/2017,2, ,23,22, 
11/12/2017,2, ,53,23,1
11/13/2017,2, ,91,18,1
11/14/2017,2, , ,21,1
11/15/2017,2, , ,22,1
11/16/2017,2, , ,15, 
11/17/2017,2, , ,10, 
11/18/2017,2, , ,12, 
11/19/2017,2, ,66,10,1
11/20/2017,2, ,57,5, 
11/21/2017,2, ,36, , 
11/22/2017,2, , ,14, 
11/23/2017,2, ,20,10, 
11/24/2017,2, ,29,14,1
11/25/2017,2, ,33,11, 
11/26/2017,2, ,35,13,1
11/27/2017,2, ,33,18, 
11/28/2017,2, ,41,14,1
11/29/2017,2, ,36,17, 
11/30/2017,2, ,30,20, 
12/1/2017,2, ,54,14, 
12/2/2017,2, ,62,23, 
12/3/2017,2, ,63,22, 
12/4/2017,2, ,60,11, 
12/5/2017,2, ,48,3, 
12/6/2017,2, ,27,9, 
12/7/2017,2, ,20,12, 
12/8/2017,2, ,19,11,1
12/9/2017,2, ,31,20,2
12/10/2017,2, ,48,27,1
12/11/2017,2, ,62,28,1
12/12/2017,2, ,83,9, 
12/13/2017,2, ,55,9, 
12/14/2017,2, ,29,10, 
12/15/2017,2, ,30,9, 
12/16/2017,2, ,28,20, 
12/17/2017,2, ,38,29, 
12/18/2017,2, ,60,27,1
12/19/2017,2, ,66,25,1
12/20/2017,2, ,69,33,1
12/21/2017,2, ,80,28,1
12/22/2017,2, ,79,7,1
12/23/2017,2, ,70,7, 
12/24/2017,2, ,66,10, 
12/25/2017,2, ,30,23, 
12/26/2017,2, ,41,26, 
12/27/2017,2, ,53,23,1
12/28/2017,2, ,69,15, 
12/29/2017,2, ,60,9,1
12/30/2017,2, ,45, , 
12/31/2017,2, , ,5, 
1/1/2018,2, ,53,9, 
1/2/2018,2, ,42,14, 
1/3/2018,2, ,42,7, 
1/4/2018,2, ,103,3,3
1/5/2018,2, ,185,4, 
1/6/2018,2, ,37,16, 
1/7/2018,2, ,37,23,1
1/8/2018,2, ,66,22, 
1/9/2018,2, ,39,19, 
1/10/2018,2, ,29,16, 
1/11/2018,2, ,50,14,4
1/12/2018,2, ,88,10, 
1/13/2018,2, ,70,7,3
1/14/2018,2, ,73,7, 
1/15/2018,2, ,37,12, 
1/16/2018,2, ,29,9, 
1/17/2018,2, ,27,6,1
1/18/2018,2, ,144,2, 
1/19/2018,2, ,46,10,1
1/20/2018,2, ,45,21, 
1/21/2018,2, ,47,10, 
1/22/2018,2, ,153,5,1
1/23/2018,2, ,76,9, 
1/24/2018,2, ,33,7,1
1/25/2018,2, ,30,4, 
1/26/2018,2, ,34,5, 
1/27/2018,2, ,21,13,1
1/28/2018,2, ,27,10,1
1/29/2018,2, ,25,15, 
1/30/2018,2, ,33,18, 
1/31/2018,2, ,32,22,1
2/1/2018,2, ,44,14, 
2/2/2018,2, ,51,16, 
2/3/2018,2, ,59,23,1
2/4/2018,2, ,67,25,1
2/5/2018,2, ,60,23,1
2/6/2018,2, ,68,33,1
2/7/2018,2, ,74,29,1
2/8/2018,2, ,104,12, 
2/9/2018,2, ,70,13,1
2/10/2018,2, ,61,9, 
2/11/2018,2, ,92,7, 
2/12/2018,2, ,39,5, 
2/13/2018,2, ,21,7,4
2/14/2018,2, ,19,18,1
2/15/2018,2, ,44,6, 
2/16/2018,2, ,34,2,1
2/17/2018,2, ,43,3, 
2/18/2018,2, ,42,13, 
2/19/2018,2, ,43,16,1
2/20/2018,2, ,37,19,2
2/21/2018,2, ,36,17, 
2/22/2018,2, ,52,8, 
2/23/2018,2, ,48,5, 
2/24/2018,2, ,28,8,7
2/25/2018,2, ,31,9, 
2/26/2018,2, ,55,11,3
2/27/2018,2, ,40,14, 
2/28/2018,2, ,29,14,1
3/1/2018,2, ,40,11,1
3/2/2018,2, ,34,10, 
3/3/2018,2, ,61,18,1
3/4/2018,2, ,63,11, 
3/5/2018,2, ,71,7,2
3/6/2018,2, ,122,14, 
3/7/2018,2, ,71,6, 
3/8/2018,2, ,264,4, 
3/9/2018,2, ,54,5, 
3/10/2018,2, ,22,10,1
3/11/2018,2, ,20,12, 
3/12/2018,2, ,25,12, 
3/13/2018,2, ,36,10, 
3/14/2018,2, ,45,11, 
3/15/2018,2, ,32,6, 
3/16/2018,2, ,31,5, 
3/17/2018,2, ,21,25,1
3/18/2018,2, ,46,16,1
3/19/2018,2, ,56,10, 
3/20/2018,2, ,73,16,2
3/21/2018,2, ,71,25,1
3/22/2018,2, ,74,16, 
3/23/2018,2, ,73,3, 
3/24/2018,2, ,135,8, 
3/25/2018,2, ,34,15, 
3/26/2018,2, ,68,11, 
3/27/2018,2, ,63,14, 
3/28/2018,2, ,55,2, 
3/29/2018,2, ,67,2, 
3/30/2018,2, ,30,2, 
3/31/2018,2, ,27,12, 
4/1/2018,2, ,31,8,1
4/2/2018,2, ,25,6, 
4/3/2018,2, ,27,9,2
4/4/2018,2, ,38,7, 
4/5/2018,2, ,39,2, 
4/6/2018,2, ,35,4,1
4/7/2018,2, ,30,7, 
4/8/2018,2, ,31,6, 
4/9/2018,2, ,26,4, 
4/10/2018,2, ,23,7, 
4/11/2018,2, ,24,9, 
